species_code,common_name,scientific_name,n_files_acquired,n_files_birdnet_processed,n_files_passed_qaqc_50,recall_at_50,mean_confidence_correct_detections,mean_confidence_fp_detections
CATHGUTT,Hermit Thrush,Catharus guttatus,8,8,8,1.0,0.862523984975655,0.7857289446724786
CORVBRACH,American Crow,Corvus brachyrhynchos,8,8,5,0.625,0.8218313604593277,0.8346420899033546
CYANCRIS,Blue Jay,Cyanocitta cristata,8,8,7,0.875,0.8827411621630549,0.8319699496030808
HYLOMUST,Wood Thrush,Hylocichla mustelina,8,8,8,1.0,0.9075293387427474,0.5207719206809998
MELOMELO,Song Sparrow,Melospiza melodia,8,8,6,0.75,0.8061004462449447,0.8395954370498657
POECATRI,Black-capped Chickadee,Poecile atricapillus,8,8,7,0.875,0.7457631370167673,0.7061170935630798
SEIUAURO,Ovenbird,Seiurus aurocapilla,8,8,7,0.875,0.9111709650605917,0.7733043111287631
SETORUTI,American Redstart,Setophaga ruticilla,8,8,7,0.875,0.922014594078064,0.8422983288764954
TURDMIGR,American Robin,Turdus migratorius,8,8,7,0.875,0.7586890573453422,0.694397553509357
ZONOALBI,White-throated Sparrow,Zonotrichia albicollis,8,8,8,1.0,0.8426822216221781,0.8032435849308968
